//===== rAthena Script =======================================
//= Quest NPCs related to Ayothaya
//===== By ===================================================
//= Fredzilla, MasterOfMuppets
//===== Version ==============================================
//= 2.6
//===== Compatible With ======================================
//= rAthena Project
//===== Description ==========================================
//= [Official Conversion]
//= Ayothaya Ring Quest
//= Ayothaya Dungeon Quest
//= Tom Yum Goong Quest
//===== Comments =============================================
//= 1.0 First Release, made with infomation from RagnaInfo
//= 1.1 Added anti-novice protection [Lupus]
//= 1.3 Fixed exploit [Lupus]
//= 1.4 Updated, more close to the official. Thanks to birkiczd
//=     Also optimized it again, remove unused global variable [Lupus]
//= 1.5 Removed Duplicates [Silent]
//= 1.6 Moved quests from cities/ to here:
//=     Shrimp, Dungeon, Tom Yum Goong [Evera]
//= 1.7 Updated the Ayothaya Ring quest to the official one [MasterOfMuppets]
//= 1.8 Fixed experience gains to match upcoming rate adjustments. [SinSloth]
//= 1.9 Corrected NPC names to fall within proper restrictions. [L0ne_W0lf]
//= 2.0 Rescripted Tom Yum Goong and Dungeon quest to Aegis [L0ne_W0lf]
//=     10.3 standards.
//= 2.0a Corrected a Typo error ";;". [Samuray22]
//= 2.1 Added missing checkweights. [L0ne_W0lf]
				mes "كيف استطعت إحضار كل هذا بنفسك؟ شكرا على تعبك~";
				next;
				mes "[مالي الحارة]";
				mes "والآن، يجب أن تذهب لشراء";
				mes "بعض ^CE0000الفلفل الأحمر^000000 وبعض";
				mes "المواد الأخرى من السوق.";
				next;
				mes "[مالي الحارة]";
				mes "عندما تتحدث";
				mes "إلى التجار";
				mes "في السوق؛ فهم يعرفون";
				mes "ما الذي تحتاج إليه.";
				next;
				if (select("حسنا، سأعود حالا.:آه، أنا متعب الآن. دعيني أرتاح أولا...") == 1) {
					delitem 568,10; //Lemon
					set tomyumgoong,6;
					changequest 8125,8126;
					mes "[مالي الحارة]";
					mes "أراك بعد قليل~";
					close;
				}
				mes "[مالي الحارة]";
				mes "الأمر يعود إليك.";
				mes "لكن تذكر...";
				mes "قد يفسد الروبيان";
				mes "بينما تستريح.";
				close;
			}
			mes "[مالي الحارة]";
			mes "هاه...؟";
			mes "ماذا فعلت";
			mes "بالليمون؟";
			mes "لم تأكله كله";
			mes "في الطريق إلى هنا، أليس كذلك؟";
			close;
		}
		mes "[مالي الحارة]";
		mes "حسنا...";
		mes "أنا أعتمد عليك";
		mes "للحصول على أفضل ليمون";
		mes "من الرجل الذي يملك تلك الشجرة.";
		next;
		mes "[مالي الحارة]";
		mes "عليك بأي وسيلة";
		mes "الحصول على ذلك الليمون";
		mes "عالي الجودة حتى أستطيع";
		mes "صنع بعض توم يوم غونغ!";
		close;
	} else if (tomyumgoong == 6) {
		if (countitem(7286) > 29) {
			mes "[مالي الحارة]";
			mes "لا أفهم...";
			mes "من أين حصلت على هذه";
			mes "المكونات السيئة؟! ألم";
			mes "أخبرك أن";
			mes "توم يوم غونغ الخاص بي";
			mes "يتطلب الأفضل؟!";
			close;
		}
		mes "[مالي الحارة]";
		mes "أعلم أنك تبذل جهدا كبيرا لمساعدتي. لم يتبق إلا القليل، فلا تتوقف الآن.";
		next;
		mes "[مالي الحارة]";
		mes "اذهب إلى السوق وتفقده. ستكون تجربة مفيدة، وفي النهاية ينتظرك توم يوم غونغ الرائع!";
		close;
	} else if (tomyumgoong == 7) {
		if (MaxWeight - Weight > 1499) {
			if (countitem(7286) > 29) {
				delitem 7286,30; //Chilli
				emotion ET_SURPRISE;
				mes "[مالي الحارة]";
				mes "والآن...";
				mes "كل شيء جاهز!";
				mes "قبل أن نبدأ، دعني";
				mes "أتحقق من المواد.";
				next;
				mes "[مالي الحارة]";
				mes "^CE0000الروبيان^000000، ^CE0000الفلفل الأحمر^000000، ^CE0000الليمون^000000...";
				mes "صلصة السمك وبعض الأشياء الصغيرة الأخرى...";
				next;
				mes "[مالي الحارة]";
				mes "ممتاز!";
				mes "هل نبدأ؟";
				next;
				mes "^FF0000*توك*^000000";
				mes "^9C009C*توب*^000000";
				mes "^009C00*بوك*^000000";
				specialeffect EF_ENCHANTPOISON;
				next;
				mes "^FF0031*تقطيع تقطيع*^000000";
				mes "^FF9C00*توب توب توب*^000000";
				mes "^639CFF*بو بو^000000 -";
				specialeffect EF_VENOMDUST;
				next;
				mes "[مالي الحارة]";
				mes "- ^9C6300توب توب^000000 ^006363تشوك^000000";
				mes "^316363تقطيع تقطيع^000000";
				mes "^FF0000توب توب توب^000000 ^009C00بو بو^000000 -";
				specialeffect EF_STONECURSE;
				specialeffect EF_HASTEUP;
				specialeffect EF_BEGINSPELL;
				next;
				mes "[مالي الحارة]";
				mes "وا^00009Cاا^0000FFاااه^0063FFااااه^000000!";
				emotion ET_HUK;
				specialeffect EF_FLASHER;
				specialeffect EF_LORD;
				next;
				mes "[مالي الحارة]";
				mes " ...";
				mes " ......";
				mes " .........";
				next;
				set tomyumgoong,8;
				completequest 8126;
				getitem 566,10; //Tomyumkung
				emotion ET_BEST;
				mes "[مالي الحارة]";
				mes "ها هو";
				mes "توم يوم غونغ الخاص بك!";
				mes "آه~ هذا الطعم،";
				mes "هذه الرائحة... نعم.";
				mes "أعلم أنني أحسنت صنعه.";
				next;
				mes "[مالي الحارة]";
				mes "هل تعرف سر توم يوم غونغ؟ إنه ليس مجرد طعام؛ بل يساعد على الشفاء واستعادة النشاط.";
				next;
				mes "[مالي الحارة]";
				mes "لأنه...";
				mes "يحتوي على";
				mes "قوة الإله.";
				next;
				mes "[مالي الحارة]";
				mes "حسنا...!";
				mes "سأعطيك";
				mes "10 توم يوم غونغ";
				mes "مجانا~";
				next;
				mes "[مالي الحارة]";
				mes "شكرا على كل ما تحملته لجمع هذه المكونات. وسيسعدني أن تشارك توم يوم غونغ مع أصدقائك.";
				next;
				mes "[مالي الحارة]";
				mes "شاركهم نكهة أيوثايا، ودعهم يعرفون جمال أرضنا. سعدت برؤيتك، واعتن بنفسك~";
				close;
			}
			mes "[مالي الحارة]";
			mes "هاه؟ ماذا فعلت بالفلفل الأحمر؟ لم تأكله كله في الطريق إلى هنا، أليس كذلك؟";
			close;
		}
		mes "[مالي الحارة]";
		mes "همم...";
		mes "يبدو أن حقيبتك ممتلئة. أفرغ بعض المساحة ثم عد.";
		close;
	}
	emotion ET_KEK;
	mes "[مالي الحارة]";
	mes "آه...!";
	mes "مشغولة، مشغولة جدا!";
	mes "زبائني لا يملون أبدا من";
	mes "طعم توم يوم غونغ الخاص بي!";
	mes "هيه هيه هيه~!";
	close;
}

ayothaya,153,86,5	script	ثونغبول#ayo::Thongpool#ayo	843,{
	if ((MaxWeight-Weight) < 2000 || checkweight(1201,1) == 0) {
		mes "- انتظر لحظة! -";
		mes "- حمولتك زائدة حاليا. -";
		mes "- أودع بعض أغراضك -";
		mes "- في مخزن كافرا، -";
		mes "- ثم حاول مجددا. -";
		close;
	}
	if (tomyumgoong == 2) {
		mes "[ثونغبول]";
		mes "تعالوا أيها المغامرون،";
		mes "ألقوا نظرة! لدي";
		mes "الكثير من الروبيان!";
		next;
		mes "[ثونغبول]";
		mes "أنت تبحث عن الروبيان،";
		mes "أليس كذلك؟ كم روبيانا";
		mes "تحتاج؟ عشرين؟ أربعين؟";
		next;
		if (select("أحتاج إلى روبيان من أجل توم يوم غونغ.:إرر، يبدو غاليا.") == 1) {
			mes "[ثونغبول]";
			mes "آه! أظن أن السيدة مالي الحارة أوصتك بي. أظن";
			mes "أن هذا يعني أيضا أنك تريد شراءه بكمية كبيرة؟";
			next;
			mes "[ثونغبول]";
			mes "في النهاية،";
			mes "ستحتاج إلى كمية";
			mes "كبيرة من الروبيان";
			mes "لطهي توم يوم غونغ.";
			next;
			mes "[ثونغبول]";
			mes "نعم، ستحتاج إلى 20 روبيانا من أجل توم يوم غونغ الخاص بالسيدة مالي.";
			mes "وسأعطيك خصما أيضا:";
			mes "11,000 زيني مقابل 20 روبيانا.";
			mes "ما رأيك؟";
			next;
			if (select("سآخذها.:يمكنني شراء 100 جيلوبي بهذا المبلغ!") == 1) {
				if (Zeny > 10999) {
					if (MaxWeight - Weight > 3999) {
						set Zeny, Zeny-11000;
						set tomyumgoong,3;
						getitem 567,20; //Prawn
						emotion ET_BEST;
						mes "[ثونغبول]";
						mes "جيد، الآن لديك";
						mes "أكثر الروبيان طزاجة في هذه القرية! حان وقت العودة إلى السيدة مالي لتطهوه لك.";
						close;
					}
					mes "[ثونغبول]";
					mes "أوووه...";
					mes "تحمل أغراضا كثيرة جدا، ولا أظن أن بوسعك حمل المزيد الآن.";
					close;
				}
				mes "[ثونغبول]";
				mes "أوووه...";
				mes "لا تملك";
				mes "ما يكفي من المال.";
				close;
			}
			mes "[ثونغبول]";
			mes "حسنا حسنا حسنا...";
			mes "قد تملأ معدتك الجائعة بكل هذا الجيلوبي، لكنه لن يكون لذيذا مثل الروبيان الخاص بي!";
			close;
		}
		mes "[ثونغبول]";
		mes "ماذا...؟";
		mes "هل تظن";
		mes "أنه غال؟";
		mes "لكن المذاق الرائع";
		mes "لتوم يوم غونغ";
		mes "لا يقدر بثمن!";
		close;
	} else if (tomyumgoong == 3) {
		mes "[ثونغبول]";
		mes "ممم...؟";
		mes "هل تحتاج";
		mes "إلى المزيد من الروبيان؟";
		mes "هل ترغب";
		mes "في شراء المزيد؟";
		next;
		if (select("نعم!:لا، شكرا.") == 1) {
			if (Zeny > 10999) {
				if (MaxWeight - Weight > 3999) {
					set Zeny, Zeny-11000;
					getitem 567,20; //Prawn
					mes "[ثونغبول]";
					mes "تفضل~";
					mes "أكثر الروبيان طزاجة في هذه القرية، وربما في العالم كله!";
					close;
				}
				mes "[ثونغبول]";
				mes "أوووه...";
				mes "تحمل أغراضا كثيرة جدا، ولا أظن أن بوسعك حمل المزيد الآن.";
				close;
			}
			mes "[ثونغبول]";
			mes "أوووه...";
			mes "لا تملك";
			mes "ما يكفي من المال.";
			close;
		}
		mes "[ثونغبول]";
		mes "جيد، لقد حصلت الآن على أكثر الروبيان طزاجة في هذه القرية!";
		mes "حان وقت عودتك لتطلب من السيدة مالي أن تطهو لك.";
		close;
	}
	mes "[ثونغبول]";
	mes "أهلا، أهلا!";
	mes "لدي أفضل روبيان مصطاد من أنقى مياه العالم~!";
	close;
}

ayothaya,121,240,7	script	السيد جون#ayo::Mr. Jun#ayo	842,1,1,{
	if (MaxWeight - Weight < 2000 || checkweight(1201,1) == 0) {
		mes "- انتظر لحظة! -";
		mes "- حمولتك زائدة حاليا. -";
		mes "- أودع بعض أغراضك -";
		mes "- في مخزن كافرا، -";
		mes "- ثم حاول مجددا. -";
		close;
	}
	if (tomyumgoong == 5) {
		emotion ET_SWEAT;
		mes "[السيد جون]";
		mes "اممم...؟";
		mes "أنت لا تحتاج";
		mes "إلى المزيد من الليمون";
		mes "مرة أخرى، أليس كذلك؟";
		next;
		switch(select("لا.:أعطني الليمون أيها العجوز!:هل يمكنني الحصول على المزيد من الليمون، من فضلك؟")) {
		case 1:
			emotion ET_DELIGHT;
			mes "[السيد جون]";
			mes "إذن لم لا تتذوق";
			mes "الليمون الذي أعطيتك إياه آخر مرة؟ إنه حامض حقا، لكنه لذيذ جدا أيضا!";
			close;
		case 2:
			emotion ET_FRET;
			mes "[السيد جون]";
			mes "ماذا...؟!";
			mes "ما خطبك أيها الصغير؟";
			mes "ماذا فعلت بـ";
			mes "الليمون الذي أعطيتك إياه آخر مرة؟";
			close;
		case 3:
			mes "[السيد جون]";
			mes "أوه، أنا آسف....مؤخرا تعرض مخزن الليمون الخاص بي";
			mes "لهجوم من ^3131FF'قطط الأوراق'^000000 التي تجوب قرب الضريح.";
			next;
			mes "[السيد جون]";
			mes "أتمنى لو أستطيع مساعدتك،";
			mes "لكن ليس لدي حتى ما يكفي من الليمون لعملي.";
			mes "إن كنت تحتاج إلى الليمون، فلم لا تصطد قطط الأوراق؟";
			close;
		}
	}
	mes "[السيد جون]";
	mes "...";
	close;

OnTouch_:
	if (MaxWeight - Weight < 2000 || checkweight(1201,1) == 0) {
		mes "- انتظر لحظة! -";
		mes "- حمولتك زائدة حاليا. -";
		mes "- أودع بعض أغراضك -";
		mes "- في مخزن كافرا، -";
		mes "- ثم حاول مجددا. -";
		close;
	}
	if (tomyumgoong == 4) {
		mes "[السيد جون]";
		mes "مرحبا! هل تحتاج إلى مساعدة؟";
		mes "هل تحتاج";
		mes "إلى بعض المساعدة...؟";
		emotion ET_SCRATCH;
		next;
		if (select("أحتاج إلى بعض الليمون.:لا، شكرا.") == 1) {
			mes "[السيد جون]";
			mes "اممم...";
			mes "ليمون؟";
			mes "كما ترى، لدي الكثير";
			mes "من الليمون على شجرتي.";
			mes "هل تحتاج بعضه حقا؟";
			next;
			if (select("نعم، سأدفع لك.:لا، شكرا.") == 1) {
				mes "[السيد جون]";
				mes "بدأت بزراعة شجرة الليمون هذه كهواية، لكنني لم أتوقع أن أحصل على حصاد جيد كهذا من الليمون الحلو";
				mes "الغني بالعصير.";
				next;
				mes "[السيد جون]";
				mes "هل قلت للتو إنك";
				mes "ستدفع لي مقابل الليمون؟";
				mes "أوه، لقد فهمتني خطأ. لا أنوي بيع هذا.";
				next;
				mes "[السيد جون]";
				mes "لكن...";
				mes "أنا مستعد تماما";
				mes "لمشاركة بعضه";
				mes "معك، لكن فقط إذا استطعت...";
				next;
				mes "[السيد جون]";
				mes "لعب لعبة صغيرة معي!";
				mes "ما رأيك؟ لقد شعرت بملل قاتل. حتى رجل عجوز مثلي يحتاج إلى الاستمتاع!";
				next;
				mes "[السيد جون]";
				mes "هاهاهاها~!";
				mes "ما رأيك؟";
				mes "هل ترغب في المحاولة؟";
				next;
				if (select("بالتأكيد، لم لا!:لا، شكرا.") == 1) {
					mes "[السيد جون]";
					mes "جيد!";
					mes "اللعبة التي أريدنا";
					mes "أن نلعبها هي لعبة";
					mes "أطفال سهلة.";
					next;
					mes "[السيد جون]";
					mes "^660000حجر،";
					mes "ورقة، مقص!^000000";
					mes "ربما سمعت";
					mes "بها في أرضك.";
					emotion ET_SCISSOR;
					next;
					mes "[السيد جون]";
					mes "لا، لا تنظر إلي هكذا. أنا رجل عجوز، وأريد أن ألعب هذه اللعبة وأستعيد شبابي";
					mes "قليلا. ستفهم عندما تصل إلى عمري.";
					next;
					mes "[السيد جون]";
					mes "حسنا، إذا فزت";
					mes "^3131FF3^000000 من أصل ^3131FF5^000000 جولات،";
					mes "فسيكون الليمون لك.";
					mes "هل أنت مستعد؟";
					next;
					mes "[السيد جون]";
					mes "حسنا...";
					mes "كما تقولون أنتم الصغار،";
					mes "^990000لنرفع الحماس إلى أقصاه!^000000";
					next;
					set @user_score,0;
					set @pc_score,0;
					mes "[السيد جون]";
					mes "حجر!";
					mes "ورقة!";
					mes "مقص!";
					next;
					while(1) {
						if (@pc_score == 5 || @user_score == 3) {
							break;
						}
						else {
							set .@jun_mark,rand(1,3);
							switch(select("مقص:حجر:ورقة")) {
							case 1:
								if (.@jun_mark == 1) {
									emotion ET_SCISSOR;
									emotion ET_SCISSOR, playerattached();
									mes "[السيد جون]";
									mes "همف.";
									mes "تعادل.";
									mes "مرة أخرى!";
									mes "حجر! ورقة!";
									mes "مقص!";
									next;
								}
								else if (.@jun_mark == 2) {
									emotion ET_ROCK;
									emotion ET_SCISSOR, playerattached();
									set @pc_score,@pc_score + 1;
									mes "[السيد جون]";
									mes "نعم...!";
									mes "يا إلهي، نعم!";
									next;
								}
								else {
									emotion ET_WRAP;
									emotion ET_SCISSOR, playerattached();
									set @pc_score,@pc_score + 1;
									set @user_score,@user_score + 1;
									mes "[السيد جون]";
									mes "ماذا...؟";
									mes "لا أصدق ذلك!";
									mes "باه.. !";
									next;
								}
								break;
							case 2:
								if (.@jun_mark == 1) {
									emotion ET_SCISSOR;
									emotion ET_ROCK, playerattached();
									set @pc_score,@pc_score + 1;
									set @user_score,@user_score + 1;
									mes "[السيد جون]";
									mes "لا...!";
									mes "يا للمصيبة!";
									next;
								}
								else if (.@jun_mark == 2) {
									emotion ET_ROCK;
									emotion ET_ROCK, playerattached();
									mes "[السيد جون]";
									mes "همف.";
									mes "تعادل.";
									mes "مرة أخرى!";
									mes "حجر! ورقة!";
									mes "مقص!";
									next;
								}
								else {
									emotion ET_WRAP;
									emotion ET_ROCK, playerattached();
									set @pc_score,@pc_score + 1;
									mes "[السيد جون]";
									mes "بواهاهاها!";
									mes "لقد خسرت، أيها الصغير!";
									next;
								}
								break;
							case 3:
								if (.@jun_mark == 1) {
									emotion ET_SCISSOR;
									emotion ET_WRAP, playerattached();
									set @pc_score,@pc_score + 1;
									mes "[السيد جون]";
									mes "هيه هيه~";
									mes "يا لك من أحمق!";
									next;
								}
								else if (.@jun_mark == 2) {
									emotion ET_ROCK;
									emotion ET_WRAP, playerattached();
									set @user_score,@user_score + 1;
									set @pc_score,@pc_score + 1;
									mes "[السيد جون]";
									mes "لاااا...!";
									mes "لا يمكن أن يكون هذا!";
									next;
								}
								else {
									emotion ET_WRAP;
									emotion ET_WRAP, playerattached();
									mes "[السيد جون]";
									mes "همف.";
									mes "تعادل.";
									mes "مرة أخرى!";
									mes "حجر! ورقة!";
									mes "مقص!";
									next;
								}
								break;
							}
						}
					}
					if (@user_score == 3) {
						emotion ET_HNG;
						mes "[السيد جون]";
						mes "لقد... فزت.";
						mes "أنا منهك جدا.";
						mes "أظن أنني لم أعد أستطيع منافسة";
						mes "الشباب";
						mes "بعد الآن. ها ها ها!";
						next;
						mes "[السيد جون]";
						mes "كما وعدتك،";
						mes "سأشاركك بعض";
						mes "الليمون الخاص بي.";
						mes "خذ قدر ما تريد!";
						mes "^3355FFلقد قطفت";
						mes "10 حبات ليمون من الشجرة.^000000";
						set tomyumgoong,5;
						getitem 568,10; //Lemon
						next;
						emotion ET_THINK;
						mes "[السيد جون]";
						mes "همم...";
						mes "يبدو أنك تحتاج إلى الكثير منه. حسنا، لا بأس لدي. لقد قضيت وقتا ممتعا معك.";
						next;
						mes "[السيد جون]";
						mes "لكن لا تنس هذا:";
						mes "لا تكن أنانيا، وشارك دائما ما لديك مع الآخرين. هذه واحدة من أهم القيم لدى البشر.";
						close;
					}
					emotion ET_SCISSOR;
					mes "[السيد جون]";
					mes "موهاهاهاها!";
					mes "النصر لي!";
					mes "يبدو أنك لن تحصل";
					mes "على أي ليمون الآن! لكن لا تتردد في تحديي في أي وقت!";
					close;
				}
				mes "[السيد جون]";
				mes "هل أنت خائف؟";
				mes "لا تنخدع بمظهري:";
				mes "أنا أحد الأفضل في الألعاب!";
				close;
			}
			mes "[السيد جون]";
			mes "همم...";
			mes "والآن ماذا يمكن";
			mes "أن أفعل";
			mes "بكل هذا";
			mes "الليمون؟";
			close;
		}
		mes "[السيد جون]";
		mes "لا تتردد في";
		mes "طلب المساعدة مني";
		mes "في أي وقت، حسنا؟";
		close;
	}
	mes "[السيد جون]";
	mes "...";
	close;
}

ayothaya,213,94,7	script	التاجر ثونغدوم#ayo::Merchant#ayo	841,{
	if (tomyumgoong == 6) {
		mes "[التاجر ثونغدوم]";
		mes "مرحبا بك~";
		mes "هل تبحث عن";
		mes "مكونات لصنع";
		mes "توم يوم غونغ؟";
		next;
		mes "[التاجر ثونغدوم]";
		mes "دعني أرى...";
		mes "أنا أبيع الفلفل الأحمر،";
		mes "وصلصة السمك، وبعض";
		mes "التوابل والمنكهات";
		mes "التي ستحتاجها. سأبيعك";
		mes "كل ذلك مقابل 2,000 زيني.";
		next;
		if (select("شكرا، سآخذه.:هذا سعر مبالغ فيه!") == 1) {
			emotion ET_THANKS;
			if (Zeny > 1999) {
				if (MaxWeight - Weight > 1199) {
					set Zeny, Zeny-2000;
					set tomyumgoong,7;
					getitem 7286,30; //Chilli
					mes "[التاجر ثونغدوم]";
					mes "شكرا لك.";
					mes "آمل أن تستمتع";
					mes "بتوم يوم غونغ الخاص بك~";
					close;
				}
				mes "[التاجر ثونغدوم]";
				mes "أوه أوه...";
				mes "يبدو أنك";
				mes "تحمل";
				mes "أغراضا كثيرة جدا";
				mes "الآن.";
				next;
				mes "[التاجر ثونغدوم]";
				mes "لا يمكنني إعطاؤك";
				mes "شيئا ما لم تكن";
				mes "لديك مساحة كافية لحمله!";
				close;
			}
			mes "[التاجر ثونغدوم]";
			mes "همم...؟";
			mes "يبدو الآن";
			mes "أنك لا تملك";
			mes "المال لشراء ما";
			mes "تحتاجه مني.";
			close;
		}
		emotion ET_STARE_ABOUT;
		mes "[التاجر ثونغدوم]";
		mes "لا تقل ذلك.";
		mes "أسعاري معقولة دائما؛";
		mes "وأريدك أن تعرف";
		mes "أنني تاجر محترم.";
		close;
	} else if (tomyumgoong == 7) {
		mes "[التاجر ثونغدوم]";
		mes "ظننت أنني زودتك";
		mes "بما يكفي من المكونات،";
		mes "لكنني حين فكرت في الأمر، لم";
		mes "أعد أعرف كمية توم يوم غونغ";
		mes "التي ستصنعها.";
		next;
		mes "[التاجر ثونغدوم]";
		mes "هل ترغب في";
		mes "شراء المزيد من الفلفل الأحمر؟";
		next;
		if (select("لا، شكرا.:نعم، من فضلك.") == 1) {
			mes "[التاجر ثونغدوم]";
			mes "إلى اللقاء~";
			close;
		}
		if (Zeny > 1999) {
			if (MaxWeight - Weight > 1199) {
				set Zeny, Zeny-2000;
				getitem 7286,30; //Chilli
				mes "[التاجر ثونغدوم]";
				mes "شكرا لك،";
				mes "تفضل بزيارتنا مجددا!";
				close;
			}
			mes "[التاجر ثونغدوم]";
			mes "أوه أوه...";
			mes "يبدو أنك";
			mes "تحمل";
			mes "أغراضا كثيرة جدا";
			mes "الآن.";
			next;
			mes "[التاجر ثونغدوم]";
			mes "لا يمكنني إعطاؤك";
			mes "شيئا ما لم تكن";
			mes "لديك مساحة كافية لحمله!";
			close;
		}
		mes "[التاجر ثونغدوم]";
		mes "همم...؟";
		mes "يبدو الآن";
		mes "أنك لا تملك";
		mes "المال لشراء ما";
		mes "تحتاجه مني.";
		close;
	}
	mes "[التاجر ثونغدوم]";
	mes "مرحبا بك!";
	mes "هل جربت الفلفل الأحمر من قبل؟";
	next;
	mes "[التاجر ثونغدوم]";
	mes "رغم مظهره الصغير،";
	mes "لكن نكهته قوية، وهو حار ولاسع؛ لذا تناوله بحذر.";
	next;
	mes "[التاجر ثونغدوم]";
	mes "يحب أهل أيوثايا الأطعمة ذات النكهات القوية والحارة، ونستخدم في مطبخنا الفلفل الأحمر والثوم والزنجبيل والكزبرة.";
	next;
	mes "[التاجر ثونغدوم]";
	mes "أنا أبيع الفلفل الأحمر،";
	mes "فإن احتجت إليه،";
	mes "فتعال إلي~";
	close;
}
